#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2170.000000212712,-19338.349156197175,5609.084004516526,-13729.265151680649,299.78407633675056,27.7
2180.0000002147494,-19398.881746087696,5520.007272664905,-13878.874473422791,293.5079159739858,27.7
2190.0000002167867,-19200.92502420063,5542.784085757835,-13658.140938442797,295.3941946267278,27.7
2200.000000218824,-19342.60530467541,5657.067537032543,-13685.537767642865,302.08086701262306,27.7
2210.0000002208612,-19608.291402365805,5546.864071659422,-14061.427330706383,295.77791570781704,27.7
2220.0000002228985,-19151.366197501386,5708.023462051351,-13443.342735450035,303.4404769187351,27.7
2230.000000224936,-19096.0660540088,5665.37069950677,-13430.69535450203,301.53503302454885,27.7
2240.000000226973,-19493.772704947165,5734.040716314458,-13759.731988632706,306.4190098039235,27.7
2250.0000002290103,-19211.052271753528,5627.115497582922,-13583.936774170605,299.7554090310767,27.7
2260.0000002310476,-19485.096150168247,5730.955099412544,-13754.141050755703,305.1888208136107,27.7
2270.000000233085,-19075.068870803792,5638.182637968978,-13436.886232834815,300.99289591723874,27.7
2280.000000235122,-19082.366721412884,5717.591817398853,-13364.77490401403,304.2854393720987,27.7
2290.0000002371594,-19173.4233240896,5543.276513267365,-13630.146810822234,295.23479742766443,27.7
2300.0000002391967,-19280.439597014803,5571.342235318911,-13709.097361695893,296.6631315997395,27.7
2310.000000241234,-19142.66188041292,5662.971579584392,-13479.69030082853,302.5039848261496,27.7
2320.000000243271,-19591.21812633821,5565.821547474039,-14025.396578864173,297.89358805508726,27.7
2330.0000002453085,-19224.95537805772,5462.555106117991,-13762.400271939729,291.7011168829692,27.7
2340.0000002473457,-19168.04698985952,5685.884656344437,-13482.162333515082,301.81966928588514,27.7
2350.000000249383,-19344.143587883078,5628.773543926566,-13715.370043956511,300.2268421210963,27.7
2360.0000002514203,-19228.020510023245,5579.607767191848,-13648.412742831397,298.11607213372366,27.7
2370.0000002534575,-19306.766881475574,5623.721159759398,-13683.045721716177,299.4810828134453,27.7
